,y
0,0.0
1,0.2486898871648548
2,0.4817536741017153
3,0.6828576506071758
4,0.8797466717138117
5,1.0528888130780303
6,1.1756926988376806
7,1.2218929181185252
8,1.1724338578094686
9,1.0195863774914362
10,0.7697078195947838
11,0.448543151549843
12,0.11542861468589732
13,-0.14172749649931518
14,-0.35796568276862384
15,-0.6256938751184272
16,-0.9364280311982272
17,-1.2758513935847908
18,-1.5876713138863177
19,-1.8194033768449442
20,-1.9318693002815284
21,-1.9071587113758683
22,-1.7442310673414452
23,-1.4538740122372253
24,-1.0535534565591336
25,-0.5633962678526973
26,-0.011341679338025351
27,0.4792737556511285
28,0.6846387144449738
29,0.8799992571083899
30,1.053120445459087
31,1.175799779034375
32,1.2219546621305495
33,1.1724668354033367
34,1.0196034872982174
35,0.7697160006367664
36,0.448546344335799
37,0.11542913883743024
38,-0.14172762499975156
39,-0.3579656269406084
40,-0.6256939012272466
41,-0.9364280168903729
42,-1.2758513987411497
43,-1.5876713111969436
44,-1.8194033769783786
45,-1.931869299904924
46,-1.907158711210165
47,-1.7442310672341126
48,-1.4538740121738538
49,-1.0535534565214637
50,-0.5633962678295018
51,-0.011341679323653125
52,0.4792737556543936
53,0.6846387144448441
54,0.8799992571085385
55,1.0531204454591212
56,1.1757997790344012
57,1.221954662130563
58,1.1724668354033443
59,1.0196034872982227
60,0.7697160006367705
61,0.44854634433580076
62,0.11542913883743253
63,-0.14172762499975333
64,-0.35796562694060946
65,-0.6256939012272469
66,-0.9364280168903756
67,-1.2758513987411508
68,-1.5876713111969454
69,-1.8194033769783795
70,-1.9318692999049247
71,-1.9071587112101636
72,-1.7442310672341117
73,-1.4538740121738536
74,-1.0535534565214622
75,-0.5633962678295011
76,-0.011341679323654708
77,0.47927375565439306
78,0.6846387144448427
79,0.8799992571085389
80,1.0531204454591212
81,1.1757997790344012
82,1.2219546621305635
83,1.1724668354033438
84,1.0196034872982214
85,0.7697160006367687
86,0.448546344335802
87,0.11542913883743477
88,-0.14172762499975156
89,-0.35796562694060924
90,-0.6256939012272463
91,-0.9364280168903729
92,-1.275851398741148
93,-1.5876713111969427
94,-1.8194033769783777
95,-1.9318692999049234
96,-1.907158711210165
97,-1.744231067234113
98,-1.4538740121738547
99,-1.053553456521463
100,-0.5633962678295019
101,-0.01134167932365543
102,0.47927375565439273
103,0.6846387144448425
104,0.8799992571085388
105,1.053120445459121
106,1.1757997790344012
107,1.2219546621305628
108,1.1724668354033452
109,1.0196034872982245
110,0.7697160006367703
111,0.4485463443357995
112,0.11542913883743103
113,-0.14172762499975092
114,-0.357965626940606
115,-0.6256939012272484
116,-0.9364280168903745
117,-1.2758513987411508
118,-1.5876713111969445
119,-1.8194033769783795
120,-1.9318692999049258
121,-1.907158711210164
122,-1.744231067234113
123,-1.4538740121738547
124,-1.0535534565214668
125,-0.563396267829508
126,-0.011341679323655846
127,0.4792737556543924
128,0.6846387144448449
129,0.8799992571085391
130,1.0531204454591212
131,1.1757997790344012
132,1.2219546621305621
133,1.1724668354033436
134,1.0196034872982216
135,0.7697160006367693
136,0.44854634433579604
137,0.11542913883742716
138,-0.14172762499975372
139,-0.35796562694060924
140,-0.6256939012272464
141,-0.9364280168903727
142,-1.2758513987411508
143,-1.5876713111969445
144,-1.819403376978379
145,-1.9318692999049245
146,-1.9071587112101656
147,-1.7442310672341108
148,-1.4538740121738507
149,-1.0535534565214613
150,-0.5633962678295013
151,-0.011341679323655457
152,0.4792737556543892
153,0.6846387144448447
154,0.8799992571085388
155,1.053120445459121
156,1.175799779034401
157,1.2219546621305635
158,1.1724668354033443
159,1.019603487298222
160,0.7697160006367696
161,0.448546344335803
162,0.11542913883743566
163,-0.14172762499974742
164,-0.35796562694060224
165,-0.6256939012272379
166,-0.9364280168903719
167,-1.275851398741147
168,-1.5876713111969427
169,-1.8194033769783777
170,-1.9318692999049238
171,-1.9071587112101653
172,-1.7442310672341166
173,-1.4538740121738603
174,-1.053553456521474
175,-0.5633962678295162
176,-0.01134167932366481
177,0.47927375565439306
178,0.6846387144448447
179,0.8799992571085388
180,1.053120445459121
181,1.175799779034401
182,1.2219546621305635
183,1.1724668354033474
184,1.019603487298228
185,0.7697160006367725
186,0.4485463443358043
187,0.11542913883742908
188,-0.1417276249997536
189,-0.3579656269406086
190,-0.6256939012272459
191,-0.9364280168903719
192,-1.275851398741147
193,-1.5876713111969414
194,-1.8194033769783768
195,-1.931869299904923
196,-1.907158711210165
197,-1.7442310672341161
198,-1.453874012173854
199,-1.0535534565214637
200,-0.5633962678295034
201,-0.011341679323657289
202,0.4792737556543883
203,0.6846387144448444
204,0.8799992571085383
205,1.0531204454591208
206,1.175799779034401
207,1.2219546621305635
208,1.1724668354033443
209,1.0196034872982223
210,0.7697160006367701
211,0.44854634433580365
212,0.1154291388374292
213,-0.1417276249997534
214,-0.35796562694060835
215,-0.6256939012272457
216,-0.9364280168903716
217,-1.2758513987411468
218,-1.5876713111969412
219,-1.8194033769783768
220,-1.931869299904923
221,-1.9071587112101613
222,-1.7442310672341095
223,-1.4538740121738503
224,-1.0535534565214617
225,-0.5633962678295023
226,-0.011341679323656734
227,0.47927375565438823
228,0.684638714444839
229,0.8799992571085333
230,1.053120445459121
231,1.175799779034401
232,1.2219546621305621
233,1.1724668354033438
234,1.0196034872982223
235,0.7697160006367704
236,0.4485463443358039
237,0.11542913883743655
238,-0.1417276249997468
239,-0.35796562694060147
240,-0.6256939012272371
241,-0.9364280168903709
242,-1.2758513987411462
243,-1.5876713111969418
244,-1.819403376978377
245,-1.9318692999049234
246,-1.9071587112101658
247,-1.7442310672341172
248,-1.4538740121738611
249,-1.0535534565214753
250,-0.5633962678295179
251,-0.011341679323659648
252,0.4792737556543935
253,0.684638714444844
