1.79,0.89,1.79,2.67,1.78
1.79,1.79,0.89,1.79,2.67
3.13,1.79,1.79,0.89,1.79
7.15,3.13,1.79,1.79,0.89
8.94,7.15,3.13,1.79,1.79
9.83,8.94,7.15,3.13,1.79
0.89,9.83,8.94,7.15,3.13
0.89,0.89,9.83,8.94,7.15
0.89,0.89,0.89,9.83,8.94
0.89,0.89,0.89,0.89,9.83
0.45,0.89,0.89,0.89,0.89
1.34,0.45,0.89,0.89,0.89
1.79,1.34,0.45,0.89,0.89
3.58,1.79,1.34,0.45,0.89
6.71,3.58,1.79,1.34,0.45
8.5,6.71,3.58,1.79,1.34
0.89,8.5,6.71,3.58,1.79
3.13,0.89,8.5,6.71,3.58
7.15,3.13,0.89,8.5,6.71
11.17,7.15,3.13,0.89,8.5
0.89,11.17,7.15,3.13,0.89
1.78,0.89,11.17,7.15,3.13
1.79,1.78,0.89,11.17,7.15
0.89,1.79,1.78,0.89,11.17
2.68,0.89,1.79,1.78,0.89
3.57,2.68,0.89,1.79,1.78
5.36,3.57,2.68,0.89,1.79
4.92,5.36,3.57,2.68,0.89
10.73,4.92,5.36,3.57,2.68
15.65,10.73,4.92,5.36,3.57
20.57,15.65,10.73,4.92,5.36
3.13,20.57,15.65,10.73,4.92
1.79,3.13,20.57,15.65,10.73
4.92,1.79,3.13,20.57,15.65
6.71,4.92,1.79,3.13,20.57
8.5,6.71,4.92,1.79,3.13
12.52,8.5,6.71,4.92,1.79
15.65,12.52,8.5,6.71,4.92
1.79,15.65,12.52,8.5,6.71
3.13,1.79,15.65,12.52,8.5
4.92,3.13,1.79,15.65,12.52
6.71,4.92,3.13,1.79,15.65
9.84,6.71,4.92,3.13,1.79
11.63,9.84,6.71,4.92,3.13
14.76,11.63,9.84,6.71,4.92
18.78,14.76,11.63,9.84,6.71
21.91,18.78,14.76,11.63,9.84
25.04,21.91,18.78,14.76,11.63
26.83,25.04,21.91,18.78,14.76
1.79,26.83,25.04,21.91,18.78
3.58,1.79,26.83,25.04,21.91
3.13,3.58,1.79,26.83,25.04
6.26,3.13,3.58,1.79,26.83
8.050000000000001,6.26,3.13,3.58,1.79
9.84,8.050000000000001,6.26,3.13,3.58
11.63,9.84,8.050000000000001,6.26,3.13
14.76,11.63,9.84,8.050000000000001,6.26
17.89,14.76,11.63,9.84,8.050000000000001
19.68,17.89,14.76,11.63,9.84
21.47,19.68,17.89,14.76,11.63
23.26,21.47,19.68,17.89,14.76
24.15,23.26,21.47,19.68,17.89
0.45,24.15,23.26,21.47,19.68
0.89,0.45,24.15,23.26,21.47
0.45,0.89,0.45,24.15,23.26
0.9,0.45,0.89,0.45,24.15
1.79,0.9,0.45,0.89,0.45
3.13,1.79,0.9,0.45,0.89
4.92,3.13,1.79,0.9,0.45
6.71,4.92,3.13,1.79,0.9
10.73,6.71,4.92,3.13,1.79
0.89,10.73,6.71,4.92,3.13
2.68,0.89,10.73,6.71,4.92
0.89,2.68,0.89,10.73,6.71
1.78,0.89,2.68,0.89,10.73
1.79,1.78,0.89,2.68,0.89
3.58,1.79,1.78,0.89,2.68
0.89,3.58,1.79,1.78,0.89
1.78,0.89,3.58,1.79,1.78
2.23,1.78,0.89,3.58,1.79
1.79,2.23,1.78,0.89,3.58
2.68,1.79,2.23,1.78,0.89
1.79,2.68,1.79,2.23,1.78
0.45,1.79,2.68,1.79,2.23
1.79,0.45,1.79,2.68,1.79
6.71,1.79,0.45,1.79,2.68
8.5,6.71,1.79,0.45,1.79
10.29,8.5,6.71,1.79,0.45
13.42,10.29,8.5,6.71,1.79
16.55,13.42,10.29,8.5,6.71
19.68,16.55,13.42,10.29,8.5
23.7,19.68,16.55,13.42,10.29
3.13,23.7,19.68,16.55,13.42
3.13,3.13,23.7,19.68,16.55
4.92,3.13,3.13,23.7,19.68
8.94,4.92,3.13,3.13,23.7
10.73,8.94,4.92,3.13,3.13
0.89,10.73,8.94,4.92,3.13
1.78,0.89,10.73,8.94,4.92
3.13,1.78,0.89,10.73,8.94
7.15,3.13,1.78,0.89,10.73
10.28,7.15,3.13,1.78,0.89
13.41,10.28,7.15,3.13,1.78
15.2,13.41,10.28,7.15,3.13
16.09,15.2,13.41,10.28,7.15
0.89,16.09,15.2,13.41,10.28
1.78,0.89,16.09,15.2,13.41
2.67,1.78,0.89,16.09,15.2
0.89,2.67,1.78,0.89,16.09
0.89,0.89,2.67,1.78,0.89
1.79,0.89,0.89,2.67,1.78
0.89,1.79,0.89,0.89,2.67
1.78,0.89,1.79,0.89,0.89
2.67,1.78,0.89,1.79,0.89
0.89,2.67,1.78,0.89,1.79
